         1274180 function calls (1173500 primitive calls) in 264.162 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\h11\_connection.py:1(<module>)
       62    0.000    0.000    0.011    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\proactor_events.py:649(_make_ssl_transport)
     1063    0.005    0.000    0.010    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\base_events.py:430(create_task)
    12231    0.010    0.000    0.010    0.000 {built-in method _winapi.LCMapStringEx}
      443    0.001    0.000    0.010    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client.py:1360(__aexit__)
     6220    0.009    0.000    0.010    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\events.py:35(__init__)
     4071    0.002    0.000    0.010    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\logging\__init__.py:658(formatMessage)
     1677    0.010    0.000    0.010    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\json\decoder.py:343(raw_decode)
    16887    0.010    0.000    0.010    0.000 {built-in method _json.encode_basestring_ascii}
       45    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        8    0.000    0.000    0.010    0.001 <frozen os>:200(makedirs)
      886    0.001    0.000    0.009    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\ssl.py:924(write)
        8    0.009    0.001    0.009    0.001 {built-in method nt.mkdir}
      886    0.002    0.000    0.008    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:1069(release)
      443    0.001    0.000    0.008    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:1130(read)
      886    0.008    0.000    0.008    0.000 {method 'write' of '_ssl._SSLSocket' objects}
     4071    0.002    0.000    0.008    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\logging\__init__.py:447(format)
     1191    0.002    0.000    0.007    0.000 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\operations\thought.py:22(__init__)
     5362    0.007    0.000    0.007    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.007    0.007 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_mock_val_ser.py:91(__getattr__)
        1    0.000    0.000    0.007    0.007 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_mock_val_ser.py:164(handler)
        1    0.000    0.000    0.007    0.007 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\main.py:592(model_rebuild)
      668    0.007    0.000    0.007    0.000 {method 'WSARecvInto' of '_overlapped.Overlapped' objects}
     4071    0.002    0.000    0.007    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\logging\__init__.py:652(usesTime)
        1    0.000    0.000    0.007    0.007 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_model_construction.py:562(complete_model_class)
        1    0.000    0.000    0.007    0.007 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\httpcore\_async\__init__.py:1(<module>)
      667    0.002    0.000    0.007    0.000 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\operations\thought.py:39(from_thought)
       59    0.000    0.000    0.007    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\proactor_events.py:154(_call_connection_lost)
      443    0.004    0.000    0.007    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:429(update_headers)
     1597    0.002    0.000    0.007    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\logging\__init__.py:2074(getLogger)
      443    0.001    0.000    0.006    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\connector.py:654(_release_acquired)
     4071    0.006    0.000    0.006    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\logging\__init__.py:440(_format)
      443    0.001    0.000    0.006    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\streams.py:355(read)
      568    0.001    0.000    0.006    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\tasks.py:662(_ensure_future)
       62    0.004    0.000    0.006    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\sslproto.py:270(__init__)
     31/1    0.000    0.000    0.006    0.006 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_generate_schema.py:684(generate_schema)
     87/1    0.000    0.000    0.006    0.006 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_generate_schema.py:983(_generate_schema_inner)
     16/1    0.000    0.000    0.006    0.006 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_generate_schema.py:723(_model_schema)
      443    0.004    0.000    0.006    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:1150(get_encoding)
     8142    0.004    0.000    0.006    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\logging\__init__.py:922(acquire)
     15/1    0.000    0.000    0.006    0.006 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_generate_schema.py:837(<dictcomp>)
     56/8    0.000    0.000    0.006    0.001 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_generate_schema.py:1199(_generate_md_field_schema)
       59    0.001    0.000    0.006    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\tasks.py:728(gather)
     56/8    0.000    0.000    0.006    0.001 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_generate_schema.py:1352(_common_field_schema)
     1892    0.002    0.000    0.006    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
       62    0.000    0.000    0.006    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_proto.py:68(close)
     1453    0.002    0.000    0.006    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\helpers.py:494(_is_ip_address)
       17    0.006    0.000    0.006    0.000 {built-in method io.open}
       44    0.000    0.000    0.006    0.000 F:\UPC\暑期实践\2025\graph-of-thoughts\graph_of_thoughts\operations\operations.py:868(_execute)
     56/8    0.000    0.000    0.006    0.001 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_generate_schema.py:2259(_apply_annotations)
       62    0.000    0.000    0.006    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\sslproto.py:106(close)
        7    0.000    0.000    0.006    0.001 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\connector.py:286(__del__)
33391/32448    0.005    0.000    0.006    0.000 {built-in method builtins.len}
     56/8    0.000    0.000    0.006    0.001 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_schema_generation_shared.py:82(__call__)
     56/8    0.000    0.000    0.006    0.001 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_generate_schema.py:2275(inner_handler)
       62    0.000    0.000    0.006    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\sslproto.py:609(_start_shutdown)
      443    0.004    0.000    0.006    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\client_reqrep.py:454(update_auto_headers)
       42    0.001    0.000    0.006    0.000 f:\UPC\暑期实践\2025\graph-of-thoughts\examples\keyword_counting\keyword_counting.py:960(parse_generate_answer)
      180    0.000    0.000    0.006    0.000 C:\Users\qilin\anaconda3\envs\GoT\Lib\asyncio\sslproto.py:645(_do_shutdown)
     71/8    0.001    0.000    0.006    0.001 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_generate_schema.py:1011(match_type)
      505    0.001    0.000    0.006    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\helpers.py:511(is_ip_address)
        1    0.000    0.000    0.005    0.005 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\h11\_events.py:1(<module>)
     30/4    0.000    0.000    0.005    0.001 C:\Users\qilin\anaconda3\envs\GoT\Lib\site-packages\pydantic\_internal\_generate_schema.py:1129(_match_generic_type)
      505    0.002    0.000    0.005    0.000 C:\Users\qilin\AppData\Roaming\Python\Python311\site-packages\aiohttp\connector.py:397(_drop_acquired_per_host)
